Plate:530  Name:"165B22" (owner=sm142)
Plate:377  Name:"113B89" (owner=sm142)
Plate:376  Name:"113B88" (owner=sm142)
Plate:375  Name:"113B45" (owner=sm142)
Plate:374  Name:"113B44" (owner=sm142)
Plate:373  Name:"112B94" (owner=sm142)
Plate:372  Name:"112B93" (owner=sm142)
Plate:371  Name:"112B92" (owner=sm142)
Plate:370  Name:"112B45" (owner=sm142)
Plate:369  Name:"112B44" (owner=sm142)
Plate:368  Name:"111B96" (owner=sm142)
Plate:367  Name:"111B94" (owner=sm142)
Plate:366  Name:"111B93" (owner=sm142)
Plate:365  Name:"111B45" (owner=sm142)
Plate:364  Name:"111B44" (owner=sm142)
Plate:363  Name:"110B46" (owner=sm142)
Plate:362  Name:"110B45" (owner=sm142)
Plate:361  Name:"109B100" (owner=sm142)
Plate:360  Name:"108B96" (owner=sm142)
Plate:359  Name:"108B46" (owner=sm142)
Plate:358  Name:"107B96" (owner=sm142)
Plate:357  Name:"106B90" (owner=sm142)
Plate:356  Name:"105B90" (owner=sm142)
Plate:355  Name:"104B102" (owner=sm142)
Plate:354  Name:"103B119" (owner=sm142)
Plate:353  Name:"102B117" (owner=sm142)
Plate:352  Name:"101B115" (owner=sm142)
Plate:351  Name:"103B116" (owner=sm142)
Plate:252  Name:"101B115" (owner=sm142)
